year,week,country,total_hours,bloqs
2026,1,FR,260154,676
2026,2,FR,283487,742
2026,3,FR,314293,803
2026,4,FR,338472,856
2026,5,FR,360593,917
2026,6,FR,383207,954
2026,7,FR,393078,965
2026,8,FR,407383,1015
2026,9,FR,422135,1024
2026,10,FR,430379,1042
2026,11,FR,438182,1059
2026,12,FR,446468,1073
2026,13,FR,449379,1075
2026,14,FR,454962,1090
2026,15,FR,460634,1099
2026,16,FR,465211,1109
2026,17,FR,471909,1125
2026,18,FR,478320,1138
2026,19,FR,482594,1144
2026,20,FR,321861,1150
2026,1,GB,283119,735
2026,2,GB,295497,773
2026,3,GB,320980,825
2026,4,GB,342320,872
2026,5,GB,358054,897
2026,6,GB,371950,916
2026,7,GB,380725,936
2026,8,GB,392668,962
2026,9,GB,419897,1022
2026,10,GB,442405,1028
2026,11,GB,447871,1036
2026,12,GB,455286,1058
2026,13,GB,466212,1081
2026,14,GB,476293,1096
2026,15,GB,479367,1100
2026,16,GB,485834,1119
2026,17,GB,494796,1141
2026,18,GB,506133,1163
2026,19,GB,513225,1171
2026,20,GB,343764,1202
